Id,Name,Popularity,Followers,Genres
4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,66,1238253,"album rock, blues rock, classic rock, country rock, double drumming, electric blues, folk rock, hard rock, jam band, mellow gold, rock, roots rock, soft rock, southern rock"
0OpWIlokQeE7BNQMhuu2Nx,Colt Ford,67,934669,"contemporary country, country, country rap, country road, modern country rock, redneck"
5zmTJA6eWcsmxevyQoK9iB,Josh Mirenda,37,4838,country pop
0AtQAehoytV7j1r4O16dRb,Cooper Alan,59,185692,contemporary country
4YTk2H7LWeoCgdoQ5umieQ,Rvshvd,56,34543,"black americana, redneck"
1FClsNYBUoNFtGgzeG74dW,Hank Williams,60,737975,"honky tonk, rock-and-roll, traditional country, yodeling"
05pAwLhsutiuj6gerEwGvU,Lefty Frizzell,44,82560,"arkansas country, country rock, honky tonk, traditional country"
1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,74,2958255,"contemporary r&b, dance pop, hip pop, neo soul, r&b, urban contemporary"
7e10JUMF7MJmmwYpnTSMI5,Dave East,66,574399,"gangster rap, harlem hip hop, hip hop, nyc rap, pop rap, rap, southern hip hop, trap, underground hip hop"
3KNIG74xSTc3dj0TRy7pGX,Yung Bleu,74,993250,"alabama rap, pop r&b, pop rap, r&b, trap"
21E3waRsmPlU7jZsS13rcj,Ne-Yo,81,6799032,"dance pop, pop, r&b, urban contemporary"
4IVAbR2w4JJNJDDRFP3E83,6LACK,81,3327347,"alternative r&b, atl hip hop, hip hop, melodic rap, r&b, rap, trap"
4HzKw8XcD0piJmDrrPRCYk,Majid Jordan,71,673239,"alternative r&b, canadian contemporary r&b, pop, r&b, trap soul"
7tYKF4w9nC0nq9CsPZTHyP,SZA,88,7052136,"pop, r&b, rap"
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,80,5448178,"dance pop, pop, pop rap, r&b"
3BBN1P1JNw0sSdYEdBkOZK,Bathe,46,5588,"alternative r&b, chill r&b, experimental r&b, indie r&b"
028lPW2NdWHdSPCkRkcyhd,Ant Clemons,59,35112,"alternative r&b, indie r&b, pop r&b"
